GTEx_bladder	GTEx_prostate	GTEx_thyroid	TCGA_bladder	TCGA_prostate	TCGA_thyroid
ABHD3	5.1517	3.8971	5.1517	98.8626	511.2	541.8598
ABHD4	30.9659	21.0808	30.9659	1119.86	715.6	810.5735
ABHD5	16.2751	2.865	16.2751	706.9116	635.6	800.8776
ABHD6	5.6249	1.6508	5.6249	233.5958	227.2	222.4506
ABHD8	7.497	10.0152	7.497	215.2231	284.8	329.105
ABI1	11.9054	7.1838	11.9054	1014.8731	1715.796	1211.9819
ABI2	10.9596	9.3578	10.9596	2272.091	1520.8	2660.8196
ABI3	2.4823	6.1298	2.4823	84.8644	165.6	129.9245
ABI3BP	7.4317	1.4929	7.4317	3410.3237	458.4	2561.3678
ABL1	91.8349	36.6118	91.8349	9746.2817	1858.8	3957.0169
ABL2	3.4925	2.983	3.4925	1861.7673	432.4	519.1438
ABLIM1	23.264	10.9131	23.264	3622.0472	1214.4	5553.5087
ABLIM2	2.4475	1.208	2.4475	48.9939	28	280.0717
ABLIM3	6.8861	3.6272	6.8861	1600.175	525.6	191.4239
ABO	0.4655	0.5165	0.4655	5.2493	221.2	658.21
ABR	8.285	14.6115	8.285	1971.1286	1627.6	687.0206
ABRA	0.0976	0.009	0.0976	169.7288	0.8	0.277
ABT1	8.8912	5.2579	8.8912	362.2047	921.6	602.5281
ABTB1	19.7511	33.3546	19.7511	844.2695	557.6	246.5517
ABTB2	1.9911	1.8144	1.9911	166.2292	188	62.6075
ACAA1	15.3034	45.2465	15.3034	608.9239	2752	1239.9613
ACAA2	27.5481	9.5974	27.5481	1552.9309	1046	2205.3914
ACACA	10.0438	13.6865	10.0438	3075.2406	2237.2	836.6138
ACACB	22.4064	11.0918	22.4064	2945.7568	518	1776.2806
ACAD10	5.2297	7.2625	5.2297	354.3307	414.8	771.236
ACAD11	0	0	0	311.4611	462.348	429.1108
ACAD8	8.237	37.9455	8.237	404.1995	2495.2	710.5677
ACAD9	11.054	12.8162	11.054	719.1514	733.6	868.1945
ACADL	1.568	26.4305	1.568	4.3745	744	613.8861
ACADM	7.7718	6.8123	7.7718	1533.6833	1618	1353.2643
ACADS	15.6277	13.1539	15.6277	410.3237	520.4	726.081
ACADSB	5.2432	11.0804	5.2432	955.3806	2900.4	1019.4499
ACADVL	114.3658	430.7072	114.3658	4757.6115	4829.572	7417.4897
ACAN	0.1476	0.2721	0.1476	23.622	14	5.2635
ACAP1	1.4518	5.2704	1.4518	68.2415	178.8	57.3441
ACAP2	5.0708	4.5649	5.0708	1141.7323	1397.6	1108.9288
ACAP3	18.989	35.2919	18.989	1003.4996	272.808	289.4905
ACAT1	12.2065	4.7177	12.2065	2213.4733	1228	1676.2748
ACAT2	3.6633	13.5169	3.6633	219.2651	2541.136	220.8356
ACBD3	12.3592	10.7194	12.3592	958.8801	1958.4	1773.7874
ACBD4	5.6422	16.8317	5.6422	342.0822	334.4	460.1376
ACBD5	3.7947	5.723	3.7947	453.1934	1462	1202.286
ACBD6	8.9395	9.2878	8.9395	411.1986	408.8	384.7869
ACBD7	0.0299	0.0498	0.0299	0.8749	31.2	44.0469
ACCS	4.9462	26.6533	4.9462	106.7367	220	414.1515
ACCSL	0.06	0.0266	0.06	0	0.8	0
ACD	13.2492	15.6101	13.2492	355.2056	276.8	360.4088
ACE	0.5928	2.704	0.5928	222.2222	866.4	1577.9311
ACE2	0.7018	0.114	0.7018	7.874	22.8	80.0601
ACER1	0.155	1.0837	0.155	0.8749	59.2	0.277
ACER2	1.6271	0.9282	1.6271	32.371	235.2	39.6145
ACER3	2.3965	2.789	2.3965	313.2108	556.4	266.4975
ACHE	0.5105	4.0717	0.5105	23.622	160	12.7431
ACIN1	33.4944	45.0869	33.4944	3083.1146	1471.2	3427.6232
ACLY	24.1293	30.6472	24.1293	1963.2546	5236.4	2011.1973
ACMSD	0.0628	0.0522	0.0628	0	0	2.7702
ACN9	2.889	2.9681	2.889	145.2318	485.2	186.7145
ACO1	29.5001	10.1332	29.5001	2196.8504	968.4	1554.3841
ACO2	30.5527	19.5323	30.5527	4606.5792	2228.176	3680.07
ACOT1	4.3941	1.7413	4.3941	1159.2301	762.4	382.2937
ACOT11	0.9337	0.9236	0.9337	389.5363	90.4	485.8094
ACOT12	0.0309	0.0343	0.0309	0	2	0
ACOT13	6.0061	9.1278	6.0061	337.2091	1491.092	613.8196
ACOT2	14.3342	5.3711	14.3342	664.042	380	279.5176
ACOT4	0.5027	0.9682	0.5027	13.1234	105.6	31.3038
ACOT6	0.2272	0.2101	0.2272	1.7498	0.8	8.5878
ACOT7	4.4917	2.5916	4.4917	480.315	277.6	105.2693
ACOT8	10.1301	13.6006	10.1301	262.1347	540.64	304.9236
ACOT9	10.1312	8.2893	10.1312	1083.1146	678	362.0709
ACOX1	8.7729	9.6593	8.7729	1466.3167	2635.984	1657.4371
ACOX2	8.3799	12.1237	8.3799	419.0726	291.6	704.4731
ACOX3	8.1597	13.1585	8.1597	749.7813	678	264.5583
ACOXL	0.0429	1.4057	0.0429	0	133.6	3.8783
ACP1	19.0668	20.6079	19.0668	902.0122	2378.4	1790.9629
ACP2	9.8879	24.3753	9.8879	561.6798	1372	828.8571
ACP5	0.5802	6.6346	0.5802	510.0612	1619.2	89.2019
ACP6	7.3817	9.1407	7.3817	202.0997	256.8	518.8667
ACPL2	0.7359	2.3545	0.7359	140.8574	532.4	249.322
ACPP	0.1589	2098.1072	0.1589	8.7489	571277.6	50.1414
ACPT	0.0832	0.0923	0.0832	0	0	0.277
ACR	0.1603	0.4743	0.1603	0	3.2	2.2162
ACRBP	0.2376	1.8244	0.2376	13.1234	23.2	111.9179
ACRC	1.0455	1.2288	1.0455	6.9991	9.6	36.8442
ACRV1	0.081	0.0225	0.081	0	0.4	0.8311
ACSBG1	0.0247	0.4928	0.0247	41.9948	35.2	2.4932
ACSBG2	0.0469	0.0892	0.0469	0	0.8	0.277
ACSF2	3.3977	18.8737	3.3977	106.7367	460.8	2518.152
ACSF3	3.9484	5.8283	3.9484	351.706	383.6	455.1511
ACSL1	45.3705	53.9859	45.3705	2311.4611	7994	2345.2888
ACSL3	10.321	18.5865	10.321	1660.5424	4565.6	1743.5917
ACSL4	9.9705	4.4759	9.9705	2090.9886	1054.4	1339.9671
ACSL5	5.1621	6.3552	5.1621	202.0997	1036	237.1329
ACSL6	0.0264	0.0746	0.0264	2.6247	23.2	16.0674
ACSM1	0.336	3.1278	0.336	0	904	10.804
ACSM2A	0.0598	0.0442	0.0598	1.7498	0	8.8648
ACSM2B	0.0146	0.0108	0.0146	0.8749	0	16.6215
ACSM3	1.6509	2.6887	1.6509	11.881	654.82	52.269
ACSM4	0.0105	0.0812	0.0105	0	0	0
ACSM5	0.9796	0.2835	0.9796	40.245	8.4	91.4181
ACSS1	5.0369	14.7205	5.0369	692.9134	1993.2	1281.515
ACSS2	12.81	11.735	12.81	771.6535	716.8	551.8327
ACSS3	3.9057	2.4449	3.9057	66.4917	248.8	529.6707
ACTA1	0.2248	8.1304	0.2248	298.3377	16	4.1554
ACTA2	1636.7299	316.4289	1636.7299	162893.9895	21908.108	831.4639
ACTB	4193.5601	971.8436	4193.5601	286270.3412	53150.628	86428.8504
ACTBL2	0.0321	0	0.0321	0	0.8	0.554
ACTC1	233.2168	2.7957	233.2168	54971.1286	254.8	1.3851
ACTG1	608.069	553.0168	608.069	44490.8136	36895.2	57196.9561
ACTG2	1224.4562	298.0807	1224.4562	228747.1566	16413.2	38.5064
ACTL6A	14.4363	4.9639	14.4363	433.0709	944.4	687.8516
ACTL6B	0	0	0	0.8749	0	0
ACTL7A	0.1251	0.0347	0.1251	0	0.4	0.277
ACTL7B	0.0189	0.021	0.0189	0	0	0.277
ACTL8	0	0.0267	0	0.8749	0	0
ACTL9	0.0315	0	0.0315	0	0	0
ACTN1	253.6638	56.8178	253.6638	39908.1365	3942.8	1206.4414
ACTN2	3.3526	0.422	3.3526	1384.9519	3.6	3.0473
ACTN3	0.2994	0.1343	0.2994	2.6247	0.4	1.1081
ACTN4	74.2915	46.5006	74.2915	20867.2878	5782.156	8402.8655
ACTR10	23.9783	15.0521	23.9783	1146.9816	1494.4	1348.2779
ACTR1A	49.0973	33.8581	49.0973	4576.5529	2138	1839.1652
ACTR1B	33.743	43.2827	33.743	1592.301	2321.6	1673.2275
ACTR2	31.918	20.9547	31.918	5153.1059	5464.4	4137.3598
ACTR3	24.8132	10.2722	24.8132	4979.0026	3872.4	2258.0261
ACTR3B	3.9673	3.8394	3.9673	69.9913	118.4	122.7218
ACTR3C	0.2015	0.7382	0.2015	6.9991	92	55.6819
ACTR5	5.9411	7.2258	5.9411	130.3587	171.6	174.2484
ACTR6	8.4553	4.2977	8.4553	471.5661	694.8	558.2042
ACTR8	4.5006	3.2067	4.5006	396.3255	447.2	447.6715
ACTRT1	0	0.069	0	0.8749	0	0
ACTRT2	0.0316	0	0.0316	0	0	0
ACVR1	6.5049	4.3443	6.5049	1135.608	662.4	1919.7793
ACVR1B	8.2245	10.978	8.2245	382.3272	1162.4	1012.8013
ACVR1C	0.4935	0.0277	0.4935	33.2458	18	16.6215
ACVR2A	4.5007	3.0335	4.5007	496.063	531.2	368.4425
ACVR2B	0.4615	0.6051	0.4615	169.7288	178.4	352.6521
ACVRL1	12.6946	7.5092	12.6946	604.5494	492.4	672.6153
ACY1	2.1335	3.0437	2.1335	172.3535	1076.592	908.8534
ACY3	0.0689	0.6692	0.0689	1.7498	10.4	4.7094
ACYP1	2.559	2.538	2.559	27.1216	70.8	116.6273
ACYP2	1.9752	2.6632	1.9752	171.4786	294.4	136.019
ADA	5.2914	4.3842	5.2914	89.2388	59.6	43.4928
ADAD1	0	0.0203	0	0	0	0
ADAD2	0.0841	0.7884	0.0841	0.8749	5.296	2.9448
ADAL	1.88	1.3357	1.88	181.9773	278	314.1457
ADAM10	6.9234	14.526	6.9234	881.8898	2808	2447.7878
ADAM11	0.4203	1.8915	0.4203	69.1164	29.2	3.8783
ADAM12	0.3499	0.1739	0.3499	154.8556	26.8	16.0674
ADAM15	35.368	48.7327	35.368	1364.8294	2983.632	1507.2899
ADAM17	3.31	1.2707	3.31	405.9493	480.8	485.6238
ADAM18	0	0	0	0	0	0
ADAM19	8.7907	5.0762	8.7907	3364.8294	241.2	73.1344
ADAM2	0.0154	0.0171	0.0154	0	0	0
ADAM20	0.0401	0.3113	0.0401	1.7498	3.2	2.2162
ADAM21	0.0505	0.084	0.0505	1.7498	4.4	5.8175
ADAM21P1	0.0194	0.086	0.0194	0	0.4	0.8311
ADAM22	0.264	2.4598	0.264	9.6238	202.4	59.0062
ADAM23	0.4956	0.8947	0.4956	22.7472	20.8	4.9864
ADAM28	0.1445	0.9012	0.1445	15.748	145.2	20.2228
ADAM29	0.0229	0.0339	0.0229	0	0.4	0
ADAM30	0.0454	0.0168	0.0454	0	0	0.277
ADAM32	0.5424	0.4065	0.5424	8.7489	8	1.9392
ADAM33	56.5454	93.4182	56.5454	1590.5512	184.496	128.8164
ADAM3A	0.0149	0	0.0149	0	0	0
ADAM6	0	0	0	9164.2082	10397.408	256.99
ADAM7	0	0.0222	0	0	8	0
ADAM8	1.5407	3.8698	1.5407	64.7419	238	62.8845
ADAM9	14.1415	9.769	14.1415	3395.4506	3760.4	2464.1323
ADAMDEC1	0.0735	0	0.0735	8.7489	182.8	7.7567
ADAMTS1	100.8108	77.045	100.8108	18118.9851	3042.4	777.0535
ADAMTS10	4.4981	11.1069	4.4981	60.3675	90.8	61.2224
ADAMTS12	0.4582	0.3356	0.4582	48.119	18	14.6823
ADAMTS13	1.2391	3.3302	1.2391	34.1207	56	132.9717
ADAMTS14	0.9906	0.4953	0.9906	34.9956	6	2.7702
ADAMTS15	24.8401	0.4779	24.8401	147.8565	16	113.58
ADAMTS16	0.0577	0.0512	0.0577	216.9729	2	3.3243
ADAMTS17	2.7694	1.5414	2.7694	65.6168	28	44.878
ADAMTS18	0.0288	0	0.0288	9.6238	12.8	3.6013
ADAMTS19	0.0331	0.0919	0.0331	13.1234	3.2	0
ADAMTS2	6.2606	7.4637	6.2606	243.2196	42	23.2701
ADAMTS20	0.0125	0	0.0125	0	0	0.554
ADAMTS3	0.6328	0.3511	0.6328	41.1199	46.4	129.9245
ADAMTS4	57.5885	12.4741	57.5885	6027.9965	342.4	121.0597
ADAMTS5	2.8027	0.4831	2.8027	412.9484	189.6	587.5688
ADAMTS6	3.4752	0.4203	3.4752	108.4864	9.6	5.8175
ADAMTS7	1.2078	3.0697	1.2078	111.1111	26	56.79
ADAMTS8	13.6367	3.5518	13.6367	428.6964	66.4	18.0066
ADAMTS9	20.1678	5.9441	20.1678	974.6282	168.4	372.0438
ADAMTSL1	0.533	2.9482	0.533	121.6098	135.6	32.6889
ADAMTSL2	1.0346	7.499	1.0346	71.741	70.8	148.2081
ADAMTSL3	4.1176	0.5647	4.1176	1263.3421	346.4	237.1329
ADAMTSL4	62.746	7.5746	62.746	2026.2467	102	132.6947
ADAMTSL5	0.8784	2.8528	0.8784	50.7437	73.2	9.1418
ADAP1	0.2261	0.2509	0.2261	487.769	153.044	291.5931
ADAP2	3.2024	1.6504	3.2024	174.9781	114.4	49.8644
ADAR	36.6883	36.532	36.6883	4387.5766	5544.4	4991.7031
ADARB1	22.7061	10.0792	22.7061	10180.2275	551.6	341.2941
ADARB2	0.1219	0.2574	0.1219	2.6247	10	0
ADAT1	2.9313	3.5961	2.9313	170.6037	444.4	193.363
ADAT2	1.5861	2.6918	1.5861	45.4943	88.8	152.3634
ADC	0.362	2.7096	0.362	27.1216	123.2	105.5463
ADCK1	3.6992	9.6019	3.6992	174.1032	148.4	253.2003
ADCK2	5.9449	10.9768	5.9449	400.6999	950	693.6692
ADCK4	14.5196	19.0674	14.5196	482.0647	724.4	736.3309
ADCK5	4.5929	6.7581	4.5929	69.1164	107.2	93.3572
ADCY1	0.3342	1.9753	0.3342	112.8609	214.8	331.5982
ADCY10	0.0328	0.1377	0.0328	0	2	2.2162
ADCY2	0.5732	2.7225	0.5732	152.231	284.8	3.6013
ADCY3	21.4615	14.1425	21.4615	778.8714	578.356	291.233
ADCY4	10.9771	16.1109	10.9771	240.5949	128.4	243.7815
ADCY5	19.5884	8.0608	19.5884	2475.9405	272.8	7.2026
ADCY6	13.6035	19.6945	13.6035	962.3797	1486.4	1108.9288
ADCY7	0.9257	0.7408	0.9257	295.713	286	166.4917
ADCY8	0.015	0.0083	0.015	0	2	23.8241
ADCY9	9.2929	2.1491	9.2929	2075.2406	249.6	2744.758
ADCYAP1	0.097	1.019	0.097	29.7463	90.8	1.9392
ADCYAP1R1	1.1647	0.9902	1.1647	6.9991	6.8	3.8783
ADD1	72.4292	56.2489	72.4292	11570.4287	5400.8	5335.2134
ADD2	0.24	0.269	0.24	6.9991	146.4	10.2499
ADD3	8.045	17.7239	8.045	1162.7297	3426.8	4421.8639
ADH1A	2.3546	1.0332	2.3546	20.1225	0.8	4.1554
ADH1B	172.9551	1.7487	172.9551	4818.0227	161.6	597.5417
ADH1C	7.5396	1.3497	7.5396	53.3683	99.6	24.3781
ADH4	0.3792	0.1026	0.3792	0	1.2	0.8311
ADH5	104.1164	25.0094	104.1164	6028.8714	7047.6	3244.7871
ADH6	0.4785	0.2993	0.4785	4.3745	6	1.1081
ADH7	0.0314	0	0.0314	0	5.6	0
ADHFE1	7.1828	12.646	7.1828	238.8451	398.4	151.2553
ADI1	5.7843	12.6097	5.7843	2289.5888	8856	1767.4158
ADIG	0	0.0241	0	0	1.2	43.2158
ADIPOQ	11.7698	0.0743	11.7698	803.1496	0	13.8512
ADIPOR1	31.948	35.7886	31.948	1453.1934	3166	2038.3457
ADIPOR2	16.4298	13.05	16.4298	1465.4418	1774.4	3559.4868
ADK	2.8134	4.0005	2.8134	118.9851	455.2	386.4491
ADM	40.6828	27.8198	40.6828	1014.8731	353.6	113.58
ADM2	0.0105	3.5053	0.0105	11.3736	488.4	955.7343
ADNP	14.6352	15.2597	14.6352	1855.643	2018	2948.371
ADNP2	5.36	5.8841	5.36	716.5354	818	814.1748
ADO	7.0341	3.2448	7.0341	528.4339	674.4	887.8633
ADORA1	0.278	0.4626	0.278	15.748	4.4	147.654
ADORA2A	0.0619	0.1924	0.0619	53.3683	93.592	40.1685
ADORA2B	0.9296	1.9628	0.9296	23.622	148	1.3851
ADORA3	1.1735	0.7037	1.1735	64.7419	16.8	19.9458
ADPGK	12.5837	32.3193	12.5837	330.7087	1627.092	905.748
ADPRH	4.1066	2.5045	4.1066	447.0691	311.6	326.3348
ADPRHL1	0.6794	0.7754	0.6794	13.1234	66.4	9.4188
ADPRHL2	15.9822	15.7963	15.9822	557.3053	718.8	641.0345
ADRA1A	0.18	0.4718	0.18	2.6247	40	1.9392
ADRA1B	0.3867	0.2145	0.3867	13.1234	9.6	21.3309
ADRA1D	1.2803	0.4457	1.2803	25.3718	55.6	5.8175
ADRA2A	14.3305	8.609	14.3305	188.1015	101.6	27.4254
ADRA2B	1.647	1.0389	1.647	19.2476	13.6	19.1147
ADRA2C	2.161	36.4573	2.161	48.119	131.6	26.0403
ADRB1	0.0157	8.3898	0.0157	0.8749	272.4	12.7431
ADRB2	1.6025	5.9067	1.6025	57.7428	466.4	33.2429
ADRB3	4.5672	0.4645	4.5672	196.8504	1.2	0
ADRBK1	25.986	74.2445	25.986	1570.4287	3161.2	915.8427
ADRBK2	1.1285	6.3344	1.1285	305.3368	1427.6	442.9621
ADRM1	39.046	22.227	39.046	1625.5468	1502.8	1131.9218
ADSL	21.8282	12.6753	21.8282	870.5162	1181.2	699.4867
ADSS	11.3965	11.4927	11.3965	1142.6072	1743.2	1230.8195
ADSSL1	0.9032	6.1267	0.9032	125.9843	156.4	321.9024
AEBP1	119.4828	84.2421	119.4828	10645.6693	2373.6	1116.9625
AEBP2	8.1804	5.3351	8.1804	1543.3071	879.2	1313.0958
AEN	13.9171	8.4051	13.9171	799.65	433.6	422.4622
AES	267.9694	275.0289	267.9694	12509.1864	10490.8	12013.4412
AFAP1	10.3352	4.2609	10.3352	4166.2117	554.396	1051.8617
AFAP1L1	4.5525	4.7691	4.5525	176.7279	173.6	350.4359
AFAP1L2	2.2447	6.7784	2.2447	220.4724	756.8	10042.4124
AFF1	16.0219	12.7763	16.0219	2877.5153	1772	7496.0039
AFF2	0.6174	0.0816	0.6174	44.6194	23.6	21.3309
AFF3	2.381	10.2823	2.381	2002.6247	2398.4	24.6552
AFF4	16.0318	14.6065	16.0318	4067.3666	3221.2	3667.5264
AFG3L2	15.8407	8.376	15.8407	1478.2765	1241.908	1861.7288
AFM	0.0331	0	0.0331	0	0	0
AFMID	3.0843	16.7513	3.0843	68.2415	822.4	260.403
AFP	0	0	0	0.8749	0	0
AFTPH	10.8784	13.8902	10.8784	1073.4908	2761.6	1543.3031
AGA	3.0089	4.6245	3.0089	216.098	725.6	684.2503
AGAP1	2.5072	2.5759	2.5072	480.315	317.2	340.74
AGAP2	1.0643	1.8639	1.0643	57.6115	53.672	36.4259
AGAP3	10.1936	24.4764	10.1936	1210.8486	1194.4	1066.8211
AGAP4	1.4011	1.0908	1.4011	116.3605	219.6	187.2685
AGAP5	1.9685	3.7394	1.9685	12.9221	47.636	51.1969
AGAP6	8.3482	23.6552	8.3482	48.9939	44	85.8776
AGAP7	0.2499	7.4673	0.2499	4.3745	103.6	8.0337
AGAP8	0.6423	4.4466	0.6423	11.3736	32.8	32.6889
AGBL1	0	0.0422	0	0	1.6	0
AGBL2	0.1298	0.6069	0.1298	3.4996	11.2	16.6215
AGBL3	0.236	0.2921	0.236	5.2493	16.8	6.0945
AGBL4	0.0327	0.0198	0.0327	0.8749	6.4	33.797
AGBL5	9.5581	8.1561	9.5581	1090.1137	1238.804	1104.2249
AGER	5.1187	18.3954	5.1187	13.9983	32.8	754.8916
AGFG1	13.3098	6.5226	13.3098	1446.1942	1392.8	1364.8993
AGFG2	5.3102	9.2026	5.3102	394.5757	611.6	578.427
AGGF1	5.6149	3.8483	5.6149	612.4234	917.2	948.2546
AGK	4.2837	8.1171	4.2837	441.8198	521.2	563.1907
AGL	5.0679	3.7371	5.0679	1690.2887	1285.6	1023.0512
AGMAT	0.1577	0.5867	0.1577	2.6247	64.8	38.7834
AGPAT1	9.9692	4.858	9.9692	2127.3316	1500.168	2640.2422
AGPAT2	49.3819	29.8051	49.3819	545.9318	816.8	1106.4356
AGPAT3	7.6124	9.3392	7.6124	1585.3018	1464.4	3079.4035
AGPAT4	1.4912	3.8371	1.4912	240.5949	94.8	363.179
AGPAT5	3.4361	3.1171	3.4361	289.5888	860.4	575.1027
AGPAT6	11.2497	19.9041	11.2497	1425.1969	1376.4	1474.324
AGPAT9	2.8609	0.7715	2.8609	152.231	114.4	903.0996
AGPS	5.6355	2.0945	5.6355	1470.6912	542.8	884.816
AGR2	0.7578	13.9891	0.7578	0	9231.6	35.7362
AGR3	0	0.1874	0	0	288.4	58.4522
AGRN	3.5383	17.0389	3.5383	696.4129	1629.2	4957.3521
AGRP	0	0.1301	0	0.8749	0	0
AGT	3.6571	4.5243	3.6571	248.4689	831.2	35.4591
AGTPBP1	2.6675	3.3072	2.6675	300.0875	267.6	290.5986
AGTR1	7.6648	1.072	7.6648	709.5363	86.8	108.0395
AGTR2	0	0	0	0	0	0.277
AGTRAP	20.5788	53.5243	20.5788	315.8355	3560	682.5882
AGXT	0.036	0.0933	0.036	0	0	0.277
AGXT2	0.019	0.0421	0.019	0	0	3.3243
AHCTF1	8.2777	5.6723	8.2777	1399.825	824	1525.5735
AHCY	43.0541	54.2103	43.0541	2012.2485	4854.4	3731.242
AHCYL1	43.6875	26.8984	43.6875	4082.2397	3032.8	4475.6066
AHCYL2	3.898	5.674	3.898	236.2205	820.8	2789.636
AHDC1	23.9866	7.6312	23.9866	1233.5958	370.8	1872.1311
AHI1	3.7603	8.8838	3.7603	511.811	561.2	398.6381
AHNAK	82.5991	52.9383	82.5991	98620.2975	16709.2	12887.4533
